,,Paste data from survey (sort by name),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apple,Banana,Caterpillar,Donkey,Elephant,Fringle,Gargoyle,Humid,Interstellar,Jupiter,Koala,Lumpy,Mongoose,Nickleback,Octopus,Platypus,Quail,Railroad,Snake,Train,Uuvula,Violin,Wonky,Xylophone,Youngster,Zebra,Alabama,Bikini,Cat,Dumby,Egg,Flick,Great,Heat,Intelligent,Juggle,Kill,Love,,,,,,
Donkey,1,1,1,,,,,,,,1,1,,,,,,,,,1,,,,,,,1,,,1,,,1,,,,,,,9,,,
Elephant,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,7,,,
Fringle,,,,,,,,,1,,,,,,,,,,,,1,,1,,T,,,,,,,,,,,,,,,,3,,,
Gargoyle,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,1,,,,1,,,1,,,,1,,,7,,,
Humid,,,,1,1,1,,,1,,,1,1,,,,,,,,,,1,1,1,,,,,1,,,1,,,1,1,1,,,14,,,
Interstellar,,1,,,1,,1,,,I,,,,,,,1,,,1,,,,,,,,,1,,,,I,,I,,,,,,6,,,
Jupiter,,,1,1,,,1,,,,1,1,,T,,,,T,,,1,,,T,T,,,,,T,1,T,,1,,,T,,,,8,,,
Koala,,1,,,,,1,,,1,1,1,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,8,,,
Lumpy,,1,1,,,,,,,,,1,,,,,,T,,,1,,,,,,,,,1,I,,,,,,1,1,,,7,,,
Mongoose,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Nickleback,1,,1,,1,,,1,1,I,,1,1,,,,1,I,1,1,1,1,,1,I,,,,,,,,1,,,1,1,,,,16,,,
Octopus,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Platypus,,,1,,,1,,1,1,,,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,8,,,
Quail,1,,1,,,,,,,I,,1,,,,1,,T,,1,1,,,,,,,,,,,,,1,,,,,,,7,,,
Railroad,,,,,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,6,,,
Snake,1,1,1,,,,1,1,1,"I, T",1,1,1,T,,1,1,T,1,,1,1,,1,1,,,1,1,,1,,1,,,,,,,,20,,,
Train,,1,1,1,,1,,,,,,1,1,,,,,,,,1,,1,,,,,,,,1,,,,1,,,,,,10,,,
Uuvula,,1,1,,,,1,,,,1,1,1,,,1,,,1,1,,1,1,1,1,1,,1,,,,1,1,,,1,1,,,,19,,,
Violin,,,,,,,,,,T,,,,,,,,"T, I",,,,,1,,,,,,1,T,,1,,,,,,,,,3,,,
Wonky,,1,,1,1,1,,1,,I,1,1,,,,1,,I,,,,1,,1,,,,,,1,,,,1,1,1,1,1,,,16,,,
Xylophone,1,,1,,1,1,1,1,1,I,,1,1,,,1,1,,1,1,1,1,1,,,1,,1,1,,1,,1,1,1,1,,1,,,25,,,
Youngster,1,,,,,,,I,,I,,,,,,,,T,,1,,1,,,,,,,1,,,,1,,,,,,,,5,,,
Zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Alabama,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,3,,,
Bikini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,38,,,
Cat,,,,I,,,,I,,,,,,,,,,T,,,,,,,,,,,,,,,,,I,,,,,,0,,,
Dumby,,,1,,,,1,,,,,1,,,,,,T,,,,,1,,,,,,,,1,,,,,,,,,,5,,,
Egg,,1,1,1,1,,1,,1,,,,,,,,1,T,,,,,,,,,,1,,,,,1,1,1,1,,,,,12,,,
Flick,1,1,1,1,1,1,1,1,1,I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,,
Great,1,1,1,1,1,,,1,1,"I, T",1,1,1,1,1,1,1,"I, T",1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,,,32,,,
Heat,1,1,1,1,T,1,1,,,1,1,1,,T,,1,,T,,1,1,,,T,,I,,T,1,T,1,I,1,1,I,,T,,,,16,,,
